的,de,4.09432531783
一,yi1,5.67089309742
是,shi4,7.02253944928
不,bu4,8.17906065392
了,le,9.27905228304
在,zai4,10.3173671567
人,ren2,11.2827212715
有,you3,12.2036344486
我,wo3,13.0770261318
他,ta1,13.9016916951
这,zhe4,14.7037639291
个,ge4,15.3236890409
们,men,15.9282516811
中,zhong1,16.4990620505
来,lai2,17.056915583
上,shang4,17.6096560434
大,da4,18.1543806496
为,wei2,18.6913390088
和,he2,19.2135322999
国,guo2,19.7227465323
地,de,20.2236916858
到,dao4,20.7224074283
以,yi3,21.1930059251
说,shui4,21.6451810318
时,shi2,22.0759379787
要,yao1,22.4950564076
就,jiu4,22.8935535592
出,chu1,23.2838586328
会,hui4,23.6636378269
可,ke3,24.037329292
也,ye3,24.404380585
你,ni3,24.7688200459
对,dui4,25.1324466038
生,sheng1,25.4849100859
能,neng2,25.8287572096
而,er2,26.1642742736
子,zi3,26.4953475023
那,na3,26.8253344486
得,de2,27.1512646316
于,yu2,27.4771100619
着,zhao1,27.8007860281
下,xia4,28.121805202
自,zi4,28.4379159507
之,zhi1,28.752639648
年,nian2,29.0636859024
过,guo4,29.3685503729
发,fa1,29.6646186437
后,hou4,29.9595809943
作,zuo4,30.2400873144
里,li3,30.5180117759
用,yong4,30.7947398798
道,dao4,31.0710623073
行,hang2,31.3459134476
所,suo3,31.6162065431
然,ran2,31.8802971833
家,jia1,32.1437490771
种,zhong3,32.4038697739
事,shi4,32.6618344431
成,cheng2,32.9197138428
方,fang1,33.1743664362
多,duo1,33.4232961509
经,jing1,33.672044474
么,ma,33.9190517481
去,qu4,34.1651810041
法,fa3,34.4064245736
学,xue2,34.646347757
如,ru2,34.8784028867
都,dou1,35.1055650948
同,tong2,35.3317159543
现,xian4,35.5559800314
当,dang1,35.7778224533
没,mei2,35.9990819415
动,dong4,36.2196659916
面,mian4,36.4393926952
起,qi3,36.6589917528
看,kan1,36.8784269896
定,ding4,37.0967883468
天,tian1,37.3137781563
分,fen1,37.5305085396
还,hai2,37.7454162218
进,jin4,37.9584174836
好,hao3,38.1712637099
小,xiao3,38.383655682
部,bu4,38.5919541991
其,qi2,38.8002330784
些,xie1,39.0072199948
主,zhu3,39.2137753956
样,yang4,39.4195328802
理,li3,39.6252583241
心,xin1,39.8279559239
她,ta1,40.0287848286
本,ben3,40.2293584415
前,qian2,40.4264763122
开,kai1,40.6213105094
但,dan4,40.8148253542
因,yin1,41.0068689116
只,qi2,41.1981099018
从,cong1,41.3892986966
想,xiang3,41.5798988732
实,shi2,41.7703310946
日,ri4,41.9583184056
军,Jūn,42.1456664533
者,zhe3,42.3322124505
意,yi4,42.5183749931
无,wu2,42.7040378045
力,li4,42.8896339507
它,ta1,43.0685310111
与,yu2,43.2470968122
长,chang2,43.4239138125
把,ba3,43.5999980114
机,ji1,43.7756134862
十,shi2,43.9507798748
民,min2,44.1243142558
第,di4,44.292672517
公,gong1,44.4573336973
此,ci3,44.6219473334
已,yi3,44.7863589065
工,gong1,44.9504547239
